Dataset,OMOP Concept ID,Domain,Patient Count,Event Count,Description,Terminology,Source Code,Concept Type,Standard OMOP Concept,Mental Disability,Physical Issues,County,Healthcare Facility Type
CPRD AURUM,4061132,Procedure,4292,4690,US brain scan,SNOMED,169237004,Standard,4061132.0,No,Yes,Lamu,Private Clinic
CPRD AURUM,4061884,Condition,5403,7675,O/E -physiological development,SNOMED,162842001,Standard,4061884.0,No,Yes,Tana River,Mission Hospital
CPRD AURUM,4062356,Procedure,92048,168397,Infant feeding education,SNOMED,171053005,Standard,4062356.0,No,Yes,Mombasa,Private Clinic
CPRD AURUM,4062868,Procedure,213,254,Open biopsy of lesion of temporal lobe of brain,SNOMED,171464004,Standard,4062868.0,No,Yes,Kwale,Private Clinic
CPRD AURUM,4062869,Procedure,46,48,Open biopsy of lesion of parietal lobe of brain,SNOMED,171465003,Standard,4062869.0,No,Yes,Taita Taveta,Health Center
CPRD AURUM,4062876,Procedure,635,1010,Stereotactic biopsy of brain,SNOMED,171491002,Standard,4062876.0,No,Yes,Kwale,Mission Hospital
CPRD AURUM,4062878,Procedure,227,486,Maintenance of neurostimulator in brain,SNOMED,171495006,Standard,4062878.0,No,Yes,Mombasa,Mission Hospital
CPRD AURUM,4062879,Procedure,44,44,Removal of neurostimulator electrode from brain tissue,SNOMED,171496007,Standard,4062879.0,No,Yes,Taita Taveta,Mission Hospital
CPRD AURUM,4062974,Procedure,295,420,Drainage of subarachnoid space of brain,SNOMED,171554006,Standard,4062974.0,No,Yes,Tana River,Mission Hospital
CPRD AURUM,4063526,Procedure,492,666,Major excision of brain tissue,SNOMED,171442008,Standard,4063526.0,No,Yes,Mombasa,Mission Hospital
CPRD AURUM,4063531,Procedure,228,230,Evacuation of hematoma from temporal lobe of brain,SNOMED,171473007,Standard,4063531.0,No,Yes,Kwale,Mission Hospital
CPRD AURUM,4063537,Procedure,113,280,Aspiration of brain hematoma,SNOMED,171502001,Standard,4063537.0,No,Yes,Kilifi,County Hospital
CPRD AURUM,4063539,Procedure,65,191,Brain cerebrospinal fluid pathway operation,SNOMED,171509005,Standard,4063539.0,No,Yes,Lamu,Private Clinic
CPRD AURUM,4063540,Procedure,1108,2303,Creation of connection from ventricle of brain,SNOMED,171510000,Standard,4063540.0,No,Yes,Kwale,Mission Hospital
CPRD AURUM,4063640,Procedure,142,269,Operation on subarachnoid space of brain,SNOMED,171553000,Standard,4063640.0,No,Yes,Taita Taveta,Private Clinic
CPRD AURUM,4063992,Procedure,42,42,Extirpation of lesion of meninges of brain cortex,SNOMED,171693007,Standard,4063992.0,No,Yes,Mombasa,Private Clinic
CPRD AURUM,4064379,Measurement,510,806,Child developmental handicap screening,SNOMED,171211000,Standard,4064379.0,No,Yes,Lamu,County Hospital
CPRD AURUM,4064639,Procedure,273,330,Total lobectomy of brain,SNOMED,171443003,Standard,4064639.0,No,Yes,Mombasa,Mission Hospital
CPRD AURUM,4064641,Procedure,624,1081,Excision of lesion of frontal lobe of brain,SNOMED,171447002,Standard,4064641.0,No,Yes,Taita Taveta,Health Center
CPRD AURUM,4064642,Procedure,822,1949,Excision of lesion of temporal lobe of brain,SNOMED,171448007,Standard,4064642.0,No,Yes,Mombasa,County Hospital
CPRD AURUM,4064643,Procedure,458,521,Excision of lesion of parietal lobe of brain,SNOMED,171449004,Standard,4064643.0,No,Yes,Kilifi,Health Center
CPRD AURUM,4064644,Procedure,192,236,Excision of lesion of occipital lobe of brain,SNOMED,171450004,Standard,4064644.0,No,Yes,Lamu,Private Clinic
CPRD AURUM,4064645,Procedure,406,701,Stereotactic ablation of brain tissue,SNOMED,171454008,Standard,4064645.0,No,Yes,Lamu,Private Clinic
CPRD AURUM,4064651,Procedure,602,812,Drainage of lesion of brain tissue,SNOMED,171471009,Standard,4064651.0,No,Yes,Taita Taveta,County Hospital
CPRD AURUM,4064652,Procedure,367,417,Drainage of abscess of brain tissue,SNOMED,171472002,Standard,4064652.0,No,Yes,Kilifi,County Hospital
CPRD AURUM,4064724,Condition,144,219,Abnormal chromosomal and genetic finding on antenatal screening of mother,SNOMED,199738000,Standard,4064724.0,No,Yes,Kwale,Health Center
CPRD AURUM,4065161,Procedure,1542,3574,Excision of lesion of brain tissue,SNOMED,171446006,Standard,4065161.0,No,Yes,Mombasa,Mission Hospital
CPRD AURUM,4065166,Procedure,150,169,Open biopsy of lesion of brain tissue,SNOMED,171462000,Standard,4065166.0,No,Yes,Tana River,Health Center
CPRD AURUM,4065167,Procedure,140,222,Open biopsy of lesion of frontal lobe of brain,SNOMED,171463005,Standard,4065167.0,No,Yes,Mombasa,County Hospital
CPRD AURUM,4065183,Procedure,55,55,Ventriculoscopic exploration of ventricle of brain,SNOMED,171543001,Standard,4065183.0,No,Yes,Mombasa,Health Center
CPRD AURUM,4066197,Procedure,222,473,Removal of lesion of brain meninges,SNOMED,171692002,Standard,4066197.0,No,Yes,Kwale,County Hospital
CPRD AURUM,4066198,Procedure,97,140,Extirpation of lesion of meninges of parasagittal region of brain,SNOMED,171696004,Standard,4066198.0,No,Yes,Mombasa,Health Center
CPRD AURUM,4066562,Procedure,87,88,Diagnostic endoscopic examination of ventricle of brain and biopsy of lesion of ventricle of brain,SNOMED,171544007,Standard,4066562.0,No,Yes,Kilifi,County Hospital
CPRD AURUM,4066563,Procedure,350,397,Ventriculography of brain,SNOMED,171549002,Standard,4066563.0,No,Yes,Kilifi,County Hospital
CPRD AURUM,4066564,Observation,118,156,Monitoring of pressure in ventricle of brain,SNOMED,171550002,Standard,4066564.0,No,Yes,Lamu,County Hospital
CPRD AURUM,4066686,Procedure,86,209,Extirpation of lesion of meninges of subfrontal region of brain,SNOMED,171695000,Standard,4066686.0,No,Yes,Taita Taveta,Mission Hospital
CPRD AURUM,4068108,Condition,39,61,Defective development of the cauda equina,SNOMED,204080008,Source,3655374.0,No,Yes,Tana River,Health Center
CPRD AURUM,4069690,Observation,93,109,Class in prenatal exercises,SNOMED,17566005,Standard,4069690.0,No,Yes,Mombasa,Health Center
CPRD AURUM,4070405,Condition,56,72,Fetal or neonatal effect of poison transferred via placenta or breast,SNOMED,206014007,Source,4213100.0,No,Yes,Mombasa,Health Center
CPRD AURUM,4070410,Condition,252,310,Fetal or neonatal effect of placenta previa,SNOMED,206065004,Standard,4070410.0,No,Yes,Kwale,County Hospital
CPRD AURUM,4070411,Condition,240,299,Fetal or neonatal effect of twin-to-twin transplacental transfusion,SNOMED,206083007,Standard,4070411.0,No,Yes,Taita Taveta,Health Center
CPRD AURUM,4070415,Condition,118,126,Fetal or neonatal effect of chorioamnionitis,SNOMED,206102001,Standard,4070415.0,No,Yes,Kilifi,Health Center
CPRD AURUM,4070421,Condition,140,156,Fetal or neonatal effect of maternal anesthetic and analgesic agents during labor and delivery,SNOMED,206124001,Standard,4070421.0,No,Yes,Tana River,County Hospital
CPRD AURUM,4070423,Condition,23,24,Fetal or neonatal effect of maternal pethidine during labor and delivery,SNOMED,206130001,Standard,4070423.0,No,Yes,Lamu,Private Clinic
CPRD AURUM,4070424,Condition,169,178,Fetal or neonatal effect of precipitate delivery,SNOMED,206134005,Standard,4070424.0,No,Yes,Kilifi,County Hospital
CPRD AURUM,4070648,Condition,896,1037,Neonatal candidiasis of perineum,SNOMED,206356004,Standard,4070648.0,No,Yes,Taita Taveta,Health Center
CPRD AURUM,4071063,Condition,6591,7388,Sepsis of the newborn,SNOMED,206376005,Standard,4071063.0,No,Yes,Lamu,County Hospital
CPRD AURUM,4071070,Condition,166,207,Neonatal hematemesis,SNOMED,206423004,Standard,4071070.0,No,Yes,Kwale,Private Clinic
CPRD AURUM,4071073,Condition,106,345,Late anemia of newborn due to isoimmunization,SNOMED,206434001,Standard,4071073.0,No,Yes,Kwale,County Hospital
CPRD AURUM,4071079,Condition,34,43,Neonatal jaundice with congenital hypothyroidism,SNOMED,206457007,Standard,4071079.0,No,Yes,Mombasa,Health Center
CPRD AURUM,4071080,Condition,22,24,Neonatal jaundice with porphyria,SNOMED,206458002,Standard,4071080.0,No,Yes,Taita Taveta,Private Clinic
CPRD AURUM,4071192,Condition,26,27,Transitory metabolic disturbance in infant of pre-diabetic mother,SNOMED,206506005,Standard,4071192.0,No,Yes,Tana River,Mission Hospital
CPRD AURUM,4071202,Condition,429,516,Neonatal hypertension,SNOMED,206596003,Standard,4071202.0,No,Yes,Lamu,Health Center
CPRD AURUM,4071477,Condition,29,32,Fetal or neonatal effect of placental insufficiency,SNOMED,206079007,Standard,4071477.0,No,Yes,Kilifi,Private Clinic
CPRD AURUM,4071480,Condition,125,138,Fetal or neonatal effect of placental transfusion syndrome,SNOMED,206082002,Standard,4071480.0,No,Yes,Taita Taveta,Private Clinic
CPRD AURUM,4071481,Condition,29,35,Fetal or neonatal effect of fetomaternal transplacental transfusion,SNOMED,206084001,Standard,4071481.0,No,Yes,Taita Taveta,Mission Hospital
CPRD AURUM,4071484,Condition,27,29,Fetal or neonatal effect of disproportion during labor and delivery,SNOMED,206118007,Standard,4071484.0,No,Yes,Kwale,County Hospital
CPRD AURUM,4071485,Condition,19675,21949,Fetal or neonatal effect of cesarean section,SNOMED,206123007,Standard,4071485.0,No,Yes,Mombasa,County Hospital
CPRD AURUM,4071489,Condition,694,746,Fetal or neonatal effect of induction of labor,SNOMED,206146009,Standard,4071489.0,No,Yes,Mombasa,Health Center
CPRD AURUM,4071721,Condition,47,64,Neonatal acrocyanosis,SNOMED,206324006,Standard,4071721.0,No,Yes,Lamu,Mission Hospital
CPRD AURUM,4071727,Condition,114,130,Sepsis of newborn due to Escherichia coli,SNOMED,206379003,Standard,4071727.0,No,Yes,Kwale,County Hospital
CPRD AURUM,4071732,Condition,91,118,Intracranial nontraumatic hemorrhage of fetus and newborn,SNOMED,206417009,Standard,4071732.0,No,Yes,Taita Taveta,Mission Hospital
CPRD AURUM,4071744,Condition,35,37,Transitory neonatal hyperkalemia,SNOMED,206491006,Standard,4071744.0,No,Yes,Tana River,County Hospital
CPRD AURUM,4071863,Observation,83,86,Underfeeding in newborn,SNOMED,206566008,Standard,4071863.0,No,Yes,Kwale,Private Clinic
CPRD AURUM,4071866,Condition,63,70,Withdrawal symptoms from therapeutic use of drugs in newborn,SNOMED,206573003,Standard,4071866.0,No,Yes,Lamu,County Hospital
CPRD AURUM,4071867,Condition,116,172,Neonatal cerebral leukomalacia,SNOMED,206578007,Standard,4071867.0,No,Yes,Lamu,Mission Hospital
CPRD AURUM,4074200,Condition,30,31,Normal physiological development,SNOMED,224959009,Standard,4074200.0,No,Yes,Kwale,Private Clinic
CPRD AURUM,4075828,Condition,21778,38708,Global developmental delay,SNOMED,224958001,Standard,4075828.0,No,Yes,Lamu,Private Clinic
CPRD AURUM,4077047,Condition,3522,4495,Motor development - child,SNOMED,275820009,Standard,4077047.0,No,Yes,Kwale,Private Clinic
CPRD AURUM,4077351,Observation,527,1013,H/O: brain disorder,SNOMED,275540007,Standard,4077351.0,No,Yes,Kilifi,Mission Hospital
CPRD AURUM,4079843,Observation,12579,17304,Newborn death,SNOMED,276506001,Standard,4079843.0,No,Yes,Kwale,Health Center
CPRD AURUM,4079860,Condition,998,1294,Umbilical polyp of newborn,SNOMED,276618000,Standard,4079860.0,No,Yes,Kwale,Health Center
CPRD AURUM,4079938,Procedure,5469,8105,Psychotherapy - cognitive,SNOMED,183383008,Standard,4079938.0,No,Yes,Lamu,Health Center
CPRD AURUM,4081424,Observation,427,474,Private referral to geneticist,SNOMED,183913007,Standard,4081424.0,No,Yes,Lamu,Mission Hospital
CPRD AURUM,4082706,Procedure,654,657,MRI of brain with functional imaging,SNOMED,241603006,Standard,4082706.0,No,Yes,Mombasa,Private Clinic
CPRD AURUM,4083321,Condition,126,162,Infantile cortical hyperostosis,SNOMED,24752008,Standard,4083321.0,No,Yes,Mombasa,Health Center
CPRD AURUM,4084947,Condition,408,514,Neonatal chlamydial conjunctivitis,SNOMED,240591000,Standard,4084947.0,No,Yes,Kilifi,Mission Hospital
CPRD AURUM,4085018,Observation,2610,3507,Referral to developmental clinic,SNOMED,183857005,Standard,4085018.0,No,Yes,Mombasa,Health Center
CPRD AURUM,4085156,Condition,55280,176292,Developmental academic disorder,SNOMED,1855002,Standard,4085156.0,No,Yes,Kwale,County Hospital
CPRD AURUM,4085168,Observation,49,49,Child development - call deleted,SNOMED,185572000,Standard,4085168.0,No,Yes,Lamu,Health Center
CPRD AURUM,4085169,Observation,170,172,Child development - second default recall,SNOMED,185574004,Standard,4085169.0,No,Yes,Mombasa,Health Center
CPRD AURUM,4085448,Procedure,188,189,US scan of neonatal hip,SNOMED,241503003,Standard,4085448.0,No,Yes,Mombasa,Private Clinic
CPRD AURUM,4085952,Observation,4628,4776,Child development check - second call,SNOMED,185570008,Standard,4085952.0,No,Yes,Kilifi,Mission Hospital
CPRD AURUM,4085953,Observation,2297,2333,Child development - first default recall,SNOMED,185573005,Standard,4085953.0,No,Yes,Taita Taveta,Private Clinic
CPRD AURUM,4086977,Condition,285,620,General physical development,SNOMED,248289006,Standard,4086977.0,No,Yes,Kilifi,Private Clinic
CPRD AURUM,4087483,Observation,462,756,General development,SNOMED,248288003,Standard,4087483.0,No,Yes,Kwale,Private Clinic
CPRD AURUM,4087744,Procedure,44,46,Removal of foreign body from brain,SNOMED,1868005,Standard,4087744.0,No,Yes,Lamu,Private Clinic
CPRD AURUM,4088726,Observation,23744,27435,Child development check - first call,SNOMED,185569007,Standard,4088726.0,No,Yes,Kilifi,Private Clinic
CPRD AURUM,4088728,Observation,1211,1267,Child development check - third call,SNOMED,185571007,Standard,4088728.0,No,Yes,Mombasa,Health Center
CPRD AURUM,4088729,Observation,32,32,Child development - recall deleted,SNOMED,185576002,Standard,4088729.0,No,Yes,Lamu,Private Clinic
CPRD AURUM,4088896,Observation,12296,18748,Seen in developmental clinic,SNOMED,185183004,Standard,4088896.0,No,Yes,Lamu,Private Clinic
CPRD AURUM,4089207,Observation,111,121,Child development - third default recall,SNOMED,185575003,Standard,4089207.0,No,Yes,Mombasa,Mission Hospital
CPRD AURUM,4090612,Observation,555,1349,Developmental skill and ability,SNOMED,280125009,Standard,4090612.0,No,Yes,Kilifi,County Hospital
CPRD AURUM,4091736,Procedure,2080,2332,Auditory brainstem electric response audiometry,SNOMED,252616000,Standard,4091736.0,No,Yes,Mombasa,Health Center
CPRD AURUM,4092225,Condition,84,102,Developmental receptive language disorder,SNOMED,187921002,Standard,4092225.0,No,Yes,Taita Taveta,Health Center
CPRD AURUM,4092490,Condition,16381,50315,Child developmental finding,SNOMED,251803000,Standard,4092490.0,No,Yes,Lamu,Health Center
CPRD AURUM,4093772,Condition,308,636,Brain stem compression,SNOMED,25816005,Standard,4093772.0,No,Yes,Tana River,Private Clinic
CPRD AURUM,4093950,Condition,85,154,"Benign neoplasm of brain, supratentorial",SNOMED,189162003,Standard,4093950.0,No,Yes,Tana River,Private Clinic
CPRD AURUM,4094033,Procedure,113174,151916,Child development checks,SNOMED,281010000,Standard,4094033.0,No,Yes,Kwale,Private Clinic
CPRD AURUM,4094118,Condition,32,79,"Neoplasm of uncertain or unknown behavior of brain, supratentorial",SNOMED,189487001,Standard,4094118.0,No,Yes,Mombasa,Mission Hospital
CPRD AURUM,4094176,Measurement,82,284,Health of the Nation Outcome Scale item 4 - cognitive problems,SNOMED,281118009,Standard,4094176.0,No,Yes,Mombasa,County Hospital
CPRD AURUM,4096616,Condition,685,1730,Diffuse brain injury,SNOMED,262693007,Standard,4096616.0,No,Yes,Kwale,Private Clinic
CPRD AURUM,4101126,Condition,33,39,Acquired neutropenia in newborn,SNOMED,191345000,Standard,4101126.0,No,Yes,Kwale,County Hospital
CPRD AURUM,4101139,Condition,415,1203,Chronic alcoholic brain syndrome,SNOMED,191475009,Standard,4101139.0,No,Yes,Kwale,Mission Hospital
CPRD AURUM,4101899,Condition,142,439,Congenital and developmental myasthenia,SNOMED,193216006,Source,4046356.0,No,Yes,Lamu,Health Center
CPRD AURUM,4102986,Condition,731,1296,Disorder of psychological development,SNOMED,192562009,Standard,4102986.0,No,Yes,Taita Taveta,Private Clinic
CPRD AURUM,4103560,Condition,242,282,Non-organic infant feeding disturbance,SNOMED,192016008,Standard,4103560.0,No,Yes,Mombasa,County Hospital
CPRD AURUM,4105188,Condition,2704,6231,Mixed disorder of psychological development,SNOMED,192147004,Standard,4105188.0,No,Yes,Lamu,County Hospital
CPRD AURUM,4105353,Condition,119,320,Multiple sclerosis of the brainstem,SNOMED,192926004,Standard,4105353.0,No,Yes,Kwale,Private Clinic
CPRD AURUM,4105925,Procedure,46136,52688,MRI of brain and brain stem,SNOMED,29567006,Standard,4105925.0,No,Yes,Mombasa,Health Center
CPRD AURUM,4107911,Condition,31,37,Infantile myotonia,SNOMED,193238008,Standard,4107911.0,No,Yes,Lamu,Health Center
CPRD AURUM,4108701,Procedure,2315,2537,Neonatal exchange transfusion,SNOMED,180202002,Standard,4108701.0,No,Yes,Taita Taveta,Health Center
CPRD AURUM,4108899,Condition,193,251,Developmental ovarian cyst,SNOMED,253821006,Source,4108900.0,No,Yes,Lamu,Mission Hospital
CPRD AURUM,4111710,Condition,2394,6667,Brainstem stroke syndrome,SNOMED,195212005,Standard,4111710.0,No,Yes,Taita Taveta,County Hospital
CPRD AURUM,4112701,Procedure,358044,2139614,Prenatal examination and care of mother,SNOMED,18114009,Standard,4112701.0,No,Yes,Kwale,County Hospital
CPRD AURUM,4114490,Procedure,171,777,Generic cognitive behavioral therapy,SNOMED,302230009,Standard,4114490.0,No,Yes,Taita Taveta,County Hospital
CPRD AURUM,4114528,Observation,102,114,Neonatal,SNOMED,255407002,Standard,4114528.0,No,Yes,Mombasa,Mission Hospital
CPRD AURUM,4114614,Procedure,41,41,Cognitive skills training,SNOMED,302259009,Standard,4114614.0,No,Yes,Kwale,County Hospital
CPRD AURUM,4118054,Condition,335,441,Fetal or neonatal effect of maternal complication of pregnancy,SNOMED,206035009,Standard,4118054.0,No,Yes,Mombasa,Mission Hospital
CPRD AURUM,4118056,Condition,90,101,Fetal or neonatal effect of maternal premature rupture of membrane,SNOMED,206037001,Standard,4118056.0,No,Yes,Tana River,Health Center
CPRD AURUM,4118057,Condition,86,95,Fetal or neonatal effect of maternal oligohydramnios,SNOMED,206038006,Standard,4118057.0,No,Yes,Kilifi,Private Clinic
CPRD AURUM,4118058,Condition,28,36,Fetal or neonatal effect of ectopic pregnancy,SNOMED,206040001,Standard,4118058.0,No,Yes,Taita Taveta,County Hospital
CPRD AURUM,4118413,Condition,40,51,Fetal or neonatal effect of twin pregnancy,SNOMED,206048008,Standard,4118413.0,No,Yes,Kilifi,County Hospital
CPRD AURUM,4118420,Condition,24,24,Fetal or neonatal effect of tubal ectopic pregnancy,SNOMED,206044005,Standard,4118420.0,No,Yes,Kilifi,Health Center
CPRD AURUM,4119782,Condition,62,106,Congenital arteriovenous fistula of brain,SNOMED,234149004,Standard,4119782.0,No,Yes,Taita Taveta,Private Clinic
CPRD AURUM,4120670,Procedure,212,343,Drainage of ventricle of brain using Holter valve,SNOMED,303647007,Standard,4120670.0,No,Yes,Kwale,Mission Hospital
CPRD AURUM,4120973,Procedure,847,1087,Procedure on brain ventricular shunt,SNOMED,302325008,Standard,4120973.0,No,Yes,Tana River,Private Clinic
CPRD AURUM,4121462,Condition,196,217,Persistent pulmonary hypertension of the newborn,SNOMED,233815004,Standard,4121462.0,No,Yes,Mombasa,Health Center
CPRD AURUM,4121675,Procedure,57888,105905,Cognitive - behavior therapy,SNOMED,304891004,Source,4043071.0,No,Yes,Lamu,Health Center
CPRD AURUM,4124225,Observation,29,34,Seen by genetic counselor,SNOMED,305623002,Standard,4124225.0,No,Yes,Mombasa,Private Clinic
CPRD AURUM,4125458,Observation,45,51,Normal infant feeding,SNOMED,289148009,Standard,4125458.0,No,Yes,Lamu,Mission Hospital
CPRD AURUM,4125682,Observation,82,108,Seen by geneticist,SNOMED,305674005,Standard,4125682.0,No,Yes,Mombasa,Mission Hospital
CPRD AURUM,4125683,Observation,76,90,Seen by clinical geneticist,SNOMED,305675006,Standard,4125683.0,No,Yes,Taita Taveta,County Hospital
CPRD AURUM,4126074,Condition,167,186,Post-term infant - 42 weeks plus,SNOMED,288270007,Standard,4126074.0,No,Yes,Tana River,Mission Hospital
CPRD AURUM,4127583,Observation,21,22,Referral to clinical genetics service,SNOMED,306120009,Standard,4127583.0,No,Yes,Lamu,Private Clinic
CPRD AURUM,4127759,Observation,33,37,Referral to clinical geneticist,SNOMED,306279004,Standard,4127759.0,No,Yes,Kwale,Health Center
CPRD AURUM,4129185,Condition,93,102,Neonatal dacryocystitis,SNOMED,23735003,Standard,4129185.0,No,Yes,Mombasa,County Hospital
CPRD AURUM,4129290,Condition,47,49,Neonatal cerebral hemorrhage,SNOMED,261808007,Standard,4129290.0,No,Yes,Mombasa,County Hospital
CPRD AURUM,4132082,Condition,49,75,Traumatic brain injury with loss of consciousness,SNOMED,127298000,Standard,4132082.0,No,Yes,Lamu,Health Center
CPRD AURUM,4132083,Condition,79,90,Traumatic brain injury with brief loss of consciousness,SNOMED,127299008,Standard,4132083.0,No,Yes,Kwale,Mission Hospital
CPRD AURUM,4132546,Condition,6040,10953,Traumatic brain injury,SNOMED,127295002,Standard,4132546.0,No,Yes,Kwale,Health Center
CPRD AURUM,4133611,Condition,11637,27496,Traumatic AND/OR non-traumatic brain injury,SNOMED,127294003,Standard,4133611.0,No,Yes,Taita Taveta,Mission Hospital
CPRD AURUM,4133715,Condition,404,430,Traumatic brain injury with no loss of consciousness,SNOMED,127302008,Standard,4133715.0,No,Yes,Taita Taveta,Health Center
CPRD AURUM,4136449,Observation,3236,3313,Infant feeding at birth,SNOMED,412727007,Standard,4136449.0,No,Yes,Taita Taveta,Private Clinic
CPRD AURUM,4136453,Observation,254,322,Family history of development disorder,SNOMED,412749001,Standard,4136453.0,No,Yes,Taita Taveta,Mission Hospital
CPRD AURUM,4136746,Procedure,2274,2451,Automated auditory brainstem response test,SNOMED,413083006,Standard,4136746.0,No,Yes,Taita Taveta,Private Clinic
CPRD AURUM,4138227,Observation,70,84,Seen by clinical genetics service,SNOMED,305815001,Standard,4138227.0,No,Yes,Taita Taveta,County Hospital
CPRD AURUM,4139409,Procedure,91,91,Aspiration of lesion of brain tissue,SNOMED,307291003,Standard,4139409.0,No,Yes,Tana River,Health Center
CPRD AURUM,4139410,Procedure,148,158,Aspiration of brain abscess,SNOMED,307292005,Standard,4139410.0,No,Yes,Kwale,County Hospital
CPRD AURUM,4139886,Observation,116,136,Seen by genetics service,SNOMED,305814002,Standard,4139886.0,No,Yes,Taita Taveta,County Hospital
CPRD AURUM,4140071,Condition,6399,8874,Floppy infant syndrome,SNOMED,33010005,Standard,4140071.0,No,Yes,Kwale,County Hospital
CPRD AURUM,4141403,Condition,539,1936,"Cerebral palsy, not congenital or infantile, acute",SNOMED,307756005,Standard,4141403.0,No,Yes,Kwale,County Hospital
CPRD AURUM,4141412,Procedure,350,609,Brain ventriculoscopy,SNOMED,307810005,Standard,4141412.0,No,Yes,Kilifi,Health Center
CPRD AURUM,4141565,Observation,41,46,Referral to genetics service,SNOMED,306119003,Standard,4141565.0,No,Yes,Tana River,County Hospital
CPRD AURUM,4142089,Procedure,145,153,Therapeutic endoscopic operations on ventricle of brain,SNOMED,265223003,Standard,4142089.0,No,Yes,Taita Taveta,Health Center
CPRD AURUM,4142402,Procedure,97,1040,IVF - In vitro fertilization with pre-implantation genetic diagnosis,SNOMED,426417003,Standard,4142402.0,No,Yes,Mombasa,Health Center
CPRD AURUM,4143242,Procedure,53,54,Cognitive behavioral therapy by multidisciplinary team,SNOMED,425680009,Standard,4143242.0,No,Yes,Lamu,Private Clinic
CPRD AURUM,4143745,Condition,4241,5569,Neonatal conjunctivitis,SNOMED,34298002,Standard,4143745.0,No,Yes,Mombasa,Mission Hospital
CPRD AURUM,4143987,Procedure,44,46,Excision of lesion of tissue of brain stem,SNOMED,427599009,Standard,4143987.0,No,Yes,Tana River,Mission Hospital
CPRD AURUM,4144560,Procedure,132,132,Attention to component of connection from ventricle of brain,SNOMED,265220000,Standard,4144560.0,No,Yes,Lamu,Health Center
CPRD AURUM,4145312,Procedure,4604,4811,Contrast ventriculography of brain,SNOMED,268434001,Standard,4145312.0,No,Yes,Tana River,Private Clinic
CPRD AURUM,4145317,Observation,419286,495699,Infant bottle fed,SNOMED,268472006,Standard,4145317.0,No,Yes,Kwale,Health Center
CPRD AURUM,4145739,Procedure,438869,532730,Computerized axial tomography of brain,SNOMED,34227000,Standard,4145739.0,No,Yes,Lamu,Health Center
CPRD AURUM,4146457,Condition,15893,19551,Infantile viral gastroenteritis,SNOMED,308119005,Standard,4146457.0,No,Yes,Kwale,Health Center
CPRD AURUM,4146487,Procedure,369,696,Operation on brain ventricle,SNOMED,307546008,Standard,4146487.0,No,Yes,Mombasa,Private Clinic
CPRD AURUM,4146496,Condition,662,856,Contusion of brain,SNOMED,34663006,Standard,4146496.0,No,Yes,Mombasa,Mission Hospital
CPRD AURUM,4146723,Condition,5543,11533,Developmental aphasia,SNOMED,268673009,Standard,4146723.0,No,Yes,Lamu,Private Clinic
CPRD AURUM,4146728,Condition,32,38,Fetal or neonatal effect of malposition or disproportion during labor or delivery,SNOMED,268809007,Standard,4146728.0,No,Yes,Lamu,County Hospital
CPRD AURUM,4146835,Condition,149361,212824,Infantile colic,SNOMED,35363006,Standard,4146835.0,No,Yes,Taita Taveta,Private Clinic
CPRD AURUM,4146848,Condition,271,351,Neonatal dacryocystitis or conjunctivitis due to chlamydiae,SNOMED,268842008,Standard,4146848.0,No,Yes,Tana River,Private Clinic
CPRD AURUM,4147525,Procedure,552,867,Repair of neonatal diaphragmatic hernia,SNOMED,30273008,Standard,4147525.0,No,Yes,Taita Taveta,Private Clinic
CPRD AURUM,4147874,Condition,23708,30163,Premature infant 28-37 weeks,SNOMED,310661005,Standard,4147874.0,No,Yes,Tana River,Private Clinic
CPRD AURUM,4148091,Condition,19183,28561,Developmental disorder of motor function,SNOMED,268674003,Standard,4148091.0,No,Yes,Taita Taveta,Mission Hospital
CPRD AURUM,4148097,Condition,142,160,Fetal or neonatal effect of abruptio placentae,SNOMED,268803008,Standard,4148097.0,No,Yes,Kwale,County Hospital
CPRD AURUM,4148451,Condition,84,87,Environmentally-induced hyperthermia in newborn,SNOMED,30571006,Standard,4148451.0,No,Yes,Lamu,Mission Hospital
CPRD AURUM,4148639,Observation,142,148,Neonatal audiological screening service,SNOMED,310009009,Standard,4148639.0,No,Yes,Mombasa,Mission Hospital
CPRD AURUM,4149384,Measurement,583,741,Mental/developmental handicap screening,SNOMED,268554002,Source,4169641.0,No,Yes,Tana River,Private Clinic
CPRD AURUM,4149523,Condition,4661,8797,Very preterm maturity of infant,SNOMED,268868001,Standard,4149523.0,No,Yes,Tana River,Health Center
CPRD AURUM,4150101,Procedure,47,50,Genetics service,SNOMED,310048009,Standard,4150101.0,No,Yes,Mombasa,Health Center
CPRD AURUM,4150102,Procedure,42,42,Clinical genetics service,SNOMED,310049001,Standard,4150102.0,No,Yes,Taita Taveta,Mission Hospital
CPRD AURUM,4150640,Condition,65954,84525,Snuffles in newborn,SNOMED,271375003,Standard,4150640.0,No,Yes,Tana River,Mission Hospital
CPRD AURUM,4150648,Procedure,60,71,Neurostimulation of brain tissue,SNOMED,271406004,Standard,4150648.0,No,Yes,Kwale,Private Clinic
CPRD AURUM,4150851,Observation,263,342,Cognitive functions,SNOMED,311465003,Standard,4150851.0,No,Yes,Lamu,Mission Hospital
CPRD AURUM,4150930,Condition,1976,2280,Neonatal hypocalcemia,SNOMED,268846006,Standard,4150930.0,No,Yes,Mombasa,Private Clinic
